PLAYER_ID,PARTNER_ID,PIMS,PPS_ON,PPS_OFF,N_CNT_SHOT,MIN_GROUP,PLAYER_NAME,PARTNER_NAME
203493,203939,1.38784103229532,1.21,1.1,211,OFF,Reggie Bullock,Dwight Powell
1629029,1626174,1.05003712437778,1.16,1.14,534,ON,Luka Doncic,Christian Wood
1629029,203501,1.24382521829929,1.2,1.03,448,OFF,Luka Doncic,Tim Hardaway Jr.
1629029,203493,-1.39469025099941,1.13,1.17,512,OFF,Luka Doncic,Reggie Bullock
1629029,1630182,-1.00475374884591,1.13,1.15,437,ON,Luka Doncic,Josh Green
1629029,1628467,1.34711534515977,1.13,1.16,349,OFF,Luka Doncic,Maxi Kleber
1629029,203915,1.55717642807976,1.09,1.23,404,OFF,Luka Doncic,Spencer Dinwiddie
1629029,203939,-1.31959375112953,1.1,1.17,581,ON,Luka Doncic,Dwight Powell
203915,1626174,1.0845728808428,1.12,1.1,229,OFF,Spencer Dinwiddie,Christian Wood
203915,203501,-1.12766809646379,1.13,1.09,286,OFF,Spencer Dinwiddie,Tim Hardaway Jr.
203915,1630182,1.46399018718166,1.02,1.14,206,ON,Spencer Dinwiddie,Josh Green
203915,1629029,2.2817388303906,1.23,1,235,OFF,Spencer Dinwiddie,Luka Doncic
203915,203939,1.57294088695243,1.14,1.07,307,ON,Spencer Dinwiddie,Dwight Powell
1626174,203501,-1.03268094323339,1.21,1.14,236,OFF,Christian Wood,Tim Hardaway Jr.
1626174,203493,-1.16380719863371,1.17,1.16,334,OFF,Christian Wood,Reggie Bullock
1626174,1629029,1.82626070166564,1.19,1.27,222,OFF,Christian Wood,Luka Doncic
203501,1626174,1.14295082492134,1.045,1.18,289,OFF,Tim Hardaway Jr.,Christian Wood
203501,203493,-1.05328809742832,1.05,1.07,387,ON,Tim Hardaway Jr.,Reggie Bullock
203501,1630182,-1.17781518237472,0.99,1.13,287,OFF,Tim Hardaway Jr.,Josh Green
203501,203939,-1.24791069538993,1.12,1.02,324,ON,Tim Hardaway Jr.,Dwight Powell
203932,1628971,1.26018055542886,1.19,1.23,354,OFF,Aaron Gordon,Bruce Brown
1627750,203932,-1.14067413101872,1.09,1.11,256,OFF,Jamal Murray,Aaron Gordon
1627750,201145,-1.13552880667258,1.11,1.02,230,ON,Jamal Murray,Jeff Green
1627750,1629008,1.55883581210394,1.12,1.07,279,OFF,Jamal Murray,Michael Porter Jr.
1627750,1628971,1.05769168637836,1.07,1.09,464,ON,Jamal Murray,Bruce Brown
1627750,203999,-1.03589288706098,1.065,1.09,222,OFF,Jamal Murray,Nikola Jokic
1627750,203484,-1.18991169272241,1.04,1.16,338,OFF,Jamal Murray,Kentavious Caldwell-Pope
203484,1628971,1.11794472551366,1.14,1.12,281,OFF,Kentavious Caldwell-Pope,Bruce Brown
1629008,1628971,1.01325236549371,1.14,1.25,322,ON,Michael Porter Jr.,Bruce Brown
203999,1627750,-1.37693499941845,1.325,1.27,215,OFF,Nikola Jokic,Jamal Murray
203999,1628971,1.33801092026651,1.32,1.35,438,OFF,Nikola Jokic,Bruce Brown
1628971,203932,1.83931829907316,1.25,0.91,290,OFF,Bruce Brown,Aaron Gordon
1628971,201145,1.44477091777361,0.94,1.21,249,OFF,Bruce Brown,Jeff Green
1628971,1629008,1.54670931195275,1.16,1.02,216,ON,Bruce Brown,Michael Porter Jr.
1628971,1627750,1.50752061005536,1.09,1.07,269,OFF,Bruce Brown,Jamal Murray
1628971,1631128,1.541313146834,0.97,1.21,271,ON,Bruce Brown,Christian Braun
1628971,203999,1.86450401983711,1.27,0.83,214,OFF,Bruce Brown,Nikola Jokic
1628971,203484,1.80275961063555,1.24,0.93,288,OFF,Bruce Brown,Kentavious Caldwell-Pope
1631093,1630180,-1.23296617032031,0.91,1.07,224,OFF,Jaden Ivey,Saddiq Bey
1631093,1630165,1.46989332203292,1.03,0.9,425,OFF,Jaden Ivey,Killian Hayes
1631093,1630587,1.16462381644094,0.96,1,284,ON,Jaden Ivey,Isaiah Livers
1631093,1631105,1.32117729771175,1,0.98,352,OFF,Jaden Ivey,Jalen Duren
1631093,1628963,1.05259038208989,0.83,0.97,243,ON,Jaden Ivey,Marvin Bagley III
1630180,1631093,1.40003264611308,1.04,0.94,241,OFF,Saddiq Bey,Jaden Ivey
1630180,1630165,-1.42500856588487,0.95,1.03,253,ON,Saddiq Bey,Killian Hayes
